nomZona;edad;sexe;nacionalitat;quantitat
MONNARS;29;H;ESTRANGER;1
TAMARIT;36;D;ESPANYA;10
TARRAGONA;4;D;ESTRANGER;56
SANT SALVADOR;3;D;ESPANYA;26
TORREFORTA;3;D;ESPANYA;75
BOSCOS DE TARRAGONA (ELS);35;H;ESPANYA;7
TARRAGONA;3;D;ESTRANGER;55
ARRABASSADA I SAVINOSA;3;D;ESPANYA;18
CAMPSA;74;H;ESPANYA;7
CALA ROMANA;30;D;ESTRANGER;2
TORREFORTA;83;D;ESTRANGER;1
BONAVISTA;20;D;ESTRANGER;21
CALA ROMANA;38;D;ESTRANGER;1
BOSCOS DE TARRAGONA (ELS);6;D;ESPANYA;3
TAMARIT;4;D;ESPANYA;10
ARRABASSADA I SAVINOSA;35;D;ESTRANGER;11
TAMARIT;67;D;ESTRANGER;1
BONAVISTA;83;D;ESPANYA;17
TORREFORTA;19;H;ESTRANGER;39
MONNARS;4;H;ESPANYA;6
SANT SALVADOR;4;D;ESTRANGER;17
TAMARIT;57;H;ESTRANGER;2
SANT SALVADOR;69;D;ESTRANGER;2
CALA ROMANA;45;D;ESTRANGER;2
PINEDES (LES);54;H;ESTRANGER;1
TAMARIT;52;H;ESTRANGER;10
CALA ROMANA;68;H;ESPANYA;4
SANT PERE I SANT PAU;81;D;ESTRANGER;3
TAMARIT;51;D;ESTRANGER;6
TAMARIT;71;D;ESPANYA;6
TAMARIT;26;H;ESPANYA;7
OLIVA (L`);81;H;ESPANYA;2
MONNARS;64;H;ESTRANGER;2
FERRAN;30;D;ESPANYA;1
BOSCOS DE TARRAGONA (ELS);72;H;ESPANYA;11
TARRAGONA;99;H;ESPANYA;4
FERRAN;44;D;ESPANYA;2
CALA ROMANA;30;H;ESPANYA;4
MONNARS;77;D;ESPANYA;6
CALA ROMANA;73;D;ESPANYA;4
TARRAGONA;117;D;ESPANYA;1
CAMPSA;94;D;ESPANYA;2
MONTGONS (ELS);79;H;ESPANYA;4
MONTGONS (ELS);89;D;ESPANYA;5
FERRAN;57;H;ESPANYA;3
CAMPSA;92;H;ESPANYA;1
FERRAN;76;D;ESPANYA;1
CAMPSA;52;D;ESPANYA;6
CAMPSA;33;D;ESPANYA;3
FERRAN;62;H;ESPANYA;2
CAMPSA;38;D;ESPANYA;5
MONTGONS (ELS);86;H;ESPANYA;1
CAMPSA;84;H;ESPANYA;1
CAMPSA;40;D;ESPANYA;2
OLIVA (L`);83;D;ESPANYA;1
OLIVA (L`);88;D;ESPANYA;1
CALA ROMANA;90;H;ESPANYA;1
CALA ROMANA;28;H;ESPANYA;3
ARRABASSADA I SAVINOSA;92;H;ESPANYA;2
SANT SALVADOR;75;D;ESTRANGER;1
MONNARS;34;D;ESPANYA;4
MONNARS;78;D;ESPANYA;8
MONNARS;80;H;ESPANYA;6
BOSCOS DE TARRAGONA (ELS);88;D;ESPANYA;3
BOSCOS DE TARRAGONA (ELS);90;H;ESPANYA;2
TARRAGONA;87;D;ESTRANGER;9
TAMARIT;89;D;ESPANYA;2
MONNARS;72;D;ESTRANGER;1
FERRAN;40;H;ESPANYA;1
FERRAN;70;D;ESPANYA;1
FERRAN;59;H;ESPANYA;1
FERRAN;61;D;ESPANYA;1
BONAVISTA;81;D;ESTRANGER;1
BONAVISTA;99;H;ESPANYA;1
PINEDES (LES);57;D;ESPANYA;1
MONTGONS (ELS);98;D;ESPANYA;1
BONAVISTA;93;H;ESPANYA;2
TARRAGONA;2;H;ESPANYA;202
FERRAN;50;H;ESPANYA;1
BOSCOS DE TARRAGONA (ELS);43;H;ESTRANGER;2
BOSCOS DE TARRAGONA (ELS);4;H;ESTRANGER;1
BOSCOS DE TARRAGONA (ELS);13;H;ESTRANGER;1
TORREFORTA;88;D;ESTRANGER;2
MONNARS;46;H;ESTRANGER;3
BOSCOS DE TARRAGONA (ELS);4;H;ESPANYA;5
BOSCOS DE TARRAGONA (ELS);20;H;ESPANYA;11
TORREFORTA;2;D;ESTRANGER;26
CALA ROMANA;19;H;ESPANYA;7
SANT PERE I SANT PAU;2;D;ESPANYA;47
CAMPSA;26;H;ESTRANGER;10
OLIVA (L`);20;H;ESPANYA;1
SANT SALVADOR;24;H;ESTRANGER;13
CALA ROMANA;3;D;ESPANYA;2
TARRAGONA;88;D;ESTRANGER;2
ARRABASSADA I SAVINOSA;68;H;ESTRANGER;3
ARRABASSADA I SAVINOSA;75;H;ESTRANGER;1
TORREFORTA;80;H;ESTRANGER;3
BOSCOS DE TARRAGONA (ELS);31;D;ESTRANGER;1
SANT PERE I SANT PAU;3;D;ESTRANGER;5
CALA ROMANA;17;D;ESPANYA;7
TAMARIT;31;H;ESTRANGER;4
ARRABASSADA I SAVINOSA;13;H;ESTRANGER;2
TARRAGONA;83;H;ESTRANGER;7
CALA ROMANA;5;H;ESTRANGER;1
BOSCOS DE TARRAGONA (ELS);52;H;ESTRANGER;1
MONTGONS (ELS);2;H;ESTRANGER;3
MONTGONS (ELS);20;D;ESTRANGER;4
TARRAGONA;88;H;ESTRANGER;2
TAMARIT;26;H;ESTRANGER;3
TAMARIT;66;H;ESTRANGER;1
TAMARIT;59;H;ESTRANGER;2
TORREFORTA;1;H;ESTRANGER;38
SANT SALVADOR;1;D;ESPANYA;30
PINEDES (LES);49;H;ESPANYA;1
TAMARIT;93;H;ESPANYA;1
MONTGONS (ELS);19;D;ESTRANGER;7
TORREFORTA;19;D;ESTRANGER;17
FERRAN;45;H;ESPANYA;1
SANT SALVADOR;1;H;ESTRANGER;15
TAMARIT;1;H;ESPANYA;5
MONTGONS (ELS);76;D;ESTRANGER;1
ARRABASSADA I SAVINOSA;18;D;ESTRANGER;5
CAMPSA;5;D;ESTRANGER;2
ARRABASSADA I SAVINOSA;11;H;ESTRANGER;4
OLIVA (L`);33;D;ESPANYA;1
CALA ROMANA;14;D;ESTRANGER;1
MONNARS;39;H;ESTRANGER;2
ARRABASSADA I SAVINOSA;18;H;ESPANYA;30
CALA ROMANA;17;D;ESTRANGER;1
PINEDES (LES);34;D;ESTRANGER;1
MONTGONS (ELS);18;H;ESTRANGER;7
CAMPSA;1;D;ESPANYA;2
MONNARS;1;H;ESPANYA;4
CAMPSA;70;D;ESTRANGER;1
TAMARIT;82;H;ESTRANGER;1
TAMARIT;50;D;ESTRANGER;1
MONTGONS (ELS);7;H;ESTRANGER;4
ARRABASSADA I SAVINOSA;64;D;ESTRANGER;2
CALA ROMANA;22;H;ESTRANGER;1
TORREFORTA;0;D;ESPANYA;50
SANT SALVADOR;85;D;ESTRANGER;2
TAMARIT;0;H;ESPANYA;5
CALA ROMANA;3;H;ESTRANGER;1
MONNARS;93;D;ESPANYA;1
FERRAN;28;H;ESPANYA;1
CALA ROMANA;0;D;ESPANYA;4
PINEDES (LES);31;D;ESTRANGER;1
OLIVA (L`);19;H;ESPANYA;1
CAMPSA;0;D;ESTRANGER;3
PINEDES (LES);0;D;ESTRANGER;1
CALA ROMANA;0;H;ESPANYA;3
TAMARIT;83;D;ESTRANGER;1
OLIVA (L`);14;H;ESPANYA;1
FERRAN;17;D;ESPANYA;2
FERRAN;45;D;ESTRANGER;1
MONTGONS (ELS);79;D;ESTRANGER;1
BOSCOS DE TARRAGONA (ELS);25;H;ESTRANGER;1
MONTGONS (ELS);11;D;ESTRANGER;2
MONTGONS (ELS);17;D;ESTRANGER;1
BOSCOS DE TARRAGONA (ELS);9;D;ESTRANGER;1
CALA ROMANA;2;H;ESPANYA;1
FERRAN;18;D;ESPANYA;1
SANT PERE I SANT PAU;81;H;ESTRANGER;1
PINEDES (LES);80;H;ESPANYA;1
MONNARS;43;H;ESTRANGER;1
SANT SALVADOR;86;D;ESTRANGER;1
CAMPSA;67;H;ESTRANGER;1
MONNARS;36;H;ESTRANGER;2
CAMPSA;66;D;ESTRANGER;1
BOSCOS DE TARRAGONA (ELS);26;D;ESTRANGER;2
MONNARS;22;D;ESTRANGER;1
TARRAGONA;85;H;ESTRANGER;1
PINEDES (LES);0;D;ESPANYA;1
CALA ROMANA;37;D;ESTRANGER;2
ARRABASSADA I SAVINOSA;61;D;ESTRANGER;1
TARRAGONA;51;D;ESPANYA;474
SANT PERE I SANT PAU;57;H;ESTRANGER;15
TARRAGONA;69;D;ESPANYA;415
TORREFORTA;58;D;ESPANYA;144
TORREFORTA;25;H;ESPANYA;107
BOSCOS DE TARRAGONA (ELS);71;D;ESPANYA;8
TARRAGONA;76;H;ESPANYA;271
MONNARS;29;H;ESPANYA;9
SANT PERE I SANT PAU;53;D;ESPANYA;140
TORREFORTA;51;H;ESPANYA;149
TARRAGONA;65;D;ESPANYA;457
TARRAGONA;86;D;ESPANYA;147
TARRAGONA;73;D;ESPANYA;355
SANT PERE I SANT PAU;72;H;ESPANYA;68
ARRABASSADA I SAVINOSA;29;H;ESPANYA;10
ARRABASSADA I SAVINOSA;27;H;ESPANYA;10
SANT PERE I SANT PAU;67;D;ESPANYA;81
BONAVISTA;63;H;ESPANYA;60
BONAVISTA;59;D;ESPANYA;57
BONAVISTA;24;H;ESPANYA;37
TORREFORTA;53;H;ESPANYA;135
TARRAGONA;57;D;ESPANYA;451
TORREFORTA;55;D;ESPANYA;113
TORREFORTA;49;H;ESPANYA;145
CAMPSA;62;H;ESPANYA;11
SANT PERE I SANT PAU;89;H;ESPANYA;23
TARRAGONA;80;D;ESPANYA;342
ARRABASSADA I SAVINOSA;34;D;ESPANYA;17
TAMARIT;79;H;ESPANYA;7
TORREFORTA;62;H;ESPANYA;99
BONAVISTA;50;D;ESTRANGER;23
TARRAGONA;93;H;ESPANYA;49
BONAVISTA;51;H;ESPANYA;47
BONAVISTA;33;H;ESPANYA;39
TARRAGONA;47;H;ESPANYA;397
TARRAGONA;58;H;ESTRANGER;55
TAMARIT;51;D;ESPANYA;13
TORREFORTA;33;H;ESPANYA;69
TARRAGONA;56;D;ESTRANGER;77
TORREFORTA;60;D;ESPANYA;115
TORREFORTA;53;D;ESTRANGER;51
BONAVISTA;30;D;ESPANYA;42
ARRABASSADA I SAVINOSA;52;H;ESPANYA;47
TORREFORTA;44;D;ESTRANGER;64
SANT SALVADOR;53;D;ESTRANGER;16
SANT PERE I SANT PAU;33;H;ESTRANGER;31
BOSCOS DE TARRAGONA (ELS);57;D;ESTRANGER;2
CAMPSA;25;D;ESPANYA;4
BONAVISTA;25;H;ESPANYA;29
