comunitatsAut;provincia;municipi;tipus;periode;total;año;mes
09 Cataluña;43 Tarragona;43138 Santa Bàrbara;Plazas;2021M02;53;2021;02
09 Cataluña;43 Tarragona;43138 Santa Bàrbara;Plazas;2020M08;53;2020;08
09 Cataluña;43 Tarragona;43138 Santa Bàrbara;Plazas por vivienda turística;2024M11;5,1;2024;11
09 Cataluña;43 Tarragona;43138 Santa Bàrbara;Plazas por vivienda turística;2024M08;4,82;2024;08
09 Cataluña;43 Tarragona;43138 Santa Bàrbara;Plazas por vivienda turística;2024M02;4,71;2024;02
09 Cataluña;43 Tarragona;43138 Santa Bàrbara;Plazas por vivienda turística;2023M08;4,5;2023;08
09 Cataluña;43 Tarragona;43138 Santa Bàrbara;Plazas por vivienda turística;2023M02;4;2023;02
09 Cataluña;43 Tarragona;43138 Santa Bàrbara;Plazas por vivienda turística;2022M08;4,75;2022;08
09 Cataluña;43 Tarragona;43138 Santa Bàrbara;Plazas por vivienda turística;2022M02;3;2022;02
09 Cataluña;43 Tarragona;43138 Santa Bàrbara;Plazas por vivienda turística;2021M08;3,54;2021;08
09 Cataluña;43 Tarragona;43138 Santa Bàrbara;Plazas por vivienda turística;2021M02;3,53;2021;02
09 Cataluña;43 Tarragona;43138 Santa Bàrbara;Plazas por vivienda turística;2020M08;3,53;2020;08
09 Cataluña;43 Tarragona;43139 Santa Coloma de Queralt;Viviendas turísticas;2024M11;7;2024;11
09 Cataluña;43 Tarragona;43139 Santa Coloma de Queralt;Viviendas turísticas;2024M08;7;2024;08
09 Cataluña;43 Tarragona;43139 Santa Coloma de Queralt;Viviendas turísticas;2024M02;7;2024;02
09 Cataluña;43 Tarragona;43139 Santa Coloma de Queralt;Viviendas turísticas;2023M08;6;2023;08
09 Cataluña;43 Tarragona;43139 Santa Coloma de Queralt;Viviendas turísticas;2023M02;7;2023;02
09 Cataluña;43 Tarragona;43139 Santa Coloma de Queralt;Viviendas turísticas;2022M08;8;2022;08
09 Cataluña;43 Tarragona;43139 Santa Coloma de Queralt;Viviendas turísticas;2022M02;7;2022;02
09 Cataluña;43 Tarragona;43139 Santa Coloma de Queralt;Viviendas turísticas;2021M08;7;2021;08
09 Cataluña;43 Tarragona;43139 Santa Coloma de Queralt;Viviendas turísticas;2021M02;8;2021;02
09 Cataluña;43 Tarragona;43139 Santa Coloma de Queralt;Viviendas turísticas;2020M08;7;2020;08
09 Cataluña;43 Tarragona;43139 Santa Coloma de Queralt;Plazas;2024M11;45;2024;11
09 Cataluña;43 Tarragona;43139 Santa Coloma de Queralt;Plazas;2024M08;45;2024;08
09 Cataluña;43 Tarragona;43139 Santa Coloma de Queralt;Plazas;2024M02;45;2024;02
09 Cataluña;43 Tarragona;43139 Santa Coloma de Queralt;Plazas;2023M08;31;2023;08
09 Cataluña;43 Tarragona;43139 Santa Coloma de Queralt;Plazas;2023M02;45;2023;02
09 Cataluña;43 Tarragona;43139 Santa Coloma de Queralt;Plazas;2022M08;49;2022;08
09 Cataluña;43 Tarragona;43139 Santa Coloma de Queralt;Plazas;2022M02;28;2022;02
09 Cataluña;43 Tarragona;43139 Santa Coloma de Queralt;Plazas;2021M08;47;2021;08
09 Cataluña;43 Tarragona;43139 Santa Coloma de Queralt;Plazas;2021M02;51;2021;02
09 Cataluña;43 Tarragona;43139 Santa Coloma de Queralt;Plazas;2020M08;35;2020;08
09 Cataluña;43 Tarragona;43139 Santa Coloma de Queralt;Plazas por vivienda turística;2024M11;6,43;2024;11
09 Cataluña;43 Tarragona;43139 Santa Coloma de Queralt;Plazas por vivienda turística;2024M08;6,43;2024;08
09 Cataluña;43 Tarragona;43139 Santa Coloma de Queralt;Plazas por vivienda turística;2024M02;6,43;2024;02
09 Cataluña;43 Tarragona;43139 Santa Coloma de Queralt;Plazas por vivienda turística;2023M08;5,17;2023;08
09 Cataluña;43 Tarragona;43139 Santa Coloma de Queralt;Plazas por vivienda turística;2023M02;6,43;2023;02
09 Cataluña;43 Tarragona;43139 Santa Coloma de Queralt;Plazas por vivienda turística;2022M08;6,13;2022;08
09 Cataluña;43 Tarragona;43139 Santa Coloma de Queralt;Plazas por vivienda turística;2022M02;4;2022;02
09 Cataluña;43 Tarragona;43139 Santa Coloma de Queralt;Plazas por vivienda turística;2021M08;6,71;2021;08
09 Cataluña;43 Tarragona;43139 Santa Coloma de Queralt;Plazas por vivienda turística;2021M02;6,38;2021;02
09 Cataluña;43 Tarragona;43139 Santa Coloma de Queralt;Plazas por vivienda turística;2020M08;5;2020;08
09 Cataluña;43 Tarragona;43140 Santa Oliva;Viviendas turísticas;2024M11;7;2024;11
09 Cataluña;43 Tarragona;43140 Santa Oliva;Viviendas turísticas;2024M08;9;2024;08
09 Cataluña;43 Tarragona;43140 Santa Oliva;Viviendas turísticas;2024M02;9;2024;02
09 Cataluña;43 Tarragona;43140 Santa Oliva;Viviendas turísticas;2023M08;8;2023;08
09 Cataluña;43 Tarragona;43140 Santa Oliva;Viviendas turísticas;2023M02;7;2023;02
09 Cataluña;43 Tarragona;43140 Santa Oliva;Viviendas turísticas;2022M08;7;2022;08
09 Cataluña;43 Tarragona;43140 Santa Oliva;Viviendas turísticas;2022M02;8;2022;02
09 Cataluña;43 Tarragona;43140 Santa Oliva;Viviendas turísticas;2021M08;7;2021;08
09 Cataluña;43 Tarragona;43140 Santa Oliva;Viviendas turísticas;2021M02;8;2021;02
09 Cataluña;43 Tarragona;43140 Santa Oliva;Viviendas turísticas;2020M08;10;2020;08
09 Cataluña;43 Tarragona;43140 Santa Oliva;Plazas;2024M11;46;2024;11
09 Cataluña;43 Tarragona;43140 Santa Oliva;Plazas;2024M08;68;2024;08
09 Cataluña;43 Tarragona;43140 Santa Oliva;Plazas;2024M02;70;2024;02
09 Cataluña;43 Tarragona;43140 Santa Oliva;Plazas;2023M08;72;2023;08
09 Cataluña;43 Tarragona;43140 Santa Oliva;Plazas;2023M02;56;2023;02
09 Cataluña;43 Tarragona;43140 Santa Oliva;Plazas;2022M08;56;2022;08
09 Cataluña;43 Tarragona;43140 Santa Oliva;Plazas;2022M02;67;2022;02
09 Cataluña;43 Tarragona;43140 Santa Oliva;Plazas;2021M08;58;2021;08
09 Cataluña;43 Tarragona;43140 Santa Oliva;Plazas;2021M02;68;2021;02
09 Cataluña;43 Tarragona;43140 Santa Oliva;Plazas;2020M08;82;2020;08
09 Cataluña;43 Tarragona;43140 Santa Oliva;Plazas por vivienda turística;2024M11;6,57;2024;11
09 Cataluña;43 Tarragona;43140 Santa Oliva;Plazas por vivienda turística;2024M08;7,56;2024;08
09 Cataluña;43 Tarragona;43140 Santa Oliva;Plazas por vivienda turística;2024M02;7,78;2024;02
09 Cataluña;43 Tarragona;43140 Santa Oliva;Plazas por vivienda turística;2023M08;9;2023;08
09 Cataluña;43 Tarragona;43140 Santa Oliva;Plazas por vivienda turística;2023M02;8;2023;02
09 Cataluña;43 Tarragona;43140 Santa Oliva;Plazas por vivienda turística;2022M08;8;2022;08
09 Cataluña;43 Tarragona;43140 Santa Oliva;Plazas por vivienda turística;2022M02;8,38;2022;02
09 Cataluña;43 Tarragona;43140 Santa Oliva;Plazas por vivienda turística;2021M08;8,29;2021;08
09 Cataluña;43 Tarragona;43140 Santa Oliva;Plazas por vivienda turística;2021M02;8,5;2021;02
09 Cataluña;43 Tarragona;43140 Santa Oliva;Plazas por vivienda turística;2020M08;8,2;2020;08
09 Cataluña;43 Tarragona;43142 Sarral;Viviendas turísticas;2024M11;1;2024;11
09 Cataluña;43 Tarragona;43142 Sarral;Viviendas turísticas;2024M08;1;2024;08
09 Cataluña;43 Tarragona;43142 Sarral;Viviendas turísticas;2024M02;1;2024;02
09 Cataluña;43 Tarragona;43142 Sarral;Viviendas turísticas;2023M08;1;2023;08
09 Cataluña;43 Tarragona;43142 Sarral;Viviendas turísticas;2023M02;1;2023;02
09 Cataluña;43 Tarragona;43142 Sarral;Viviendas turísticas;2022M08;1;2022;08
09 Cataluña;43 Tarragona;43142 Sarral;Viviendas turísticas;2022M02;1;2022;02
09 Cataluña;43 Tarragona;43142 Sarral;Viviendas turísticas;2021M08;2;2021;08
09 Cataluña;43 Tarragona;43142 Sarral;Viviendas turísticas;2021M02;2;2021;02
09 Cataluña;43 Tarragona;43142 Sarral;Viviendas turísticas;2020M08;3;2020;08
09 Cataluña;43 Tarragona;43142 Sarral;Plazas;2024M11;6;2024;11
09 Cataluña;43 Tarragona;43142 Sarral;Plazas;2024M08;6;2024;08
09 Cataluña;43 Tarragona;43142 Sarral;Plazas;2024M02;6;2024;02
09 Cataluña;43 Tarragona;43142 Sarral;Plazas;2023M08;6;2023;08
09 Cataluña;43 Tarragona;43142 Sarral;Plazas;2023M02;6;2023;02
09 Cataluña;43 Tarragona;43142 Sarral;Plazas;2022M08;6;2022;08
09 Cataluña;43 Tarragona;43142 Sarral;Plazas;2022M02;6;2022;02
09 Cataluña;43 Tarragona;43142 Sarral;Plazas;2021M08;18;2021;08
09 Cataluña;43 Tarragona;43142 Sarral;Plazas;2021M02;12;2021;02
09 Cataluña;43 Tarragona;43142 Sarral;Plazas;2020M08;24;2020;08
09 Cataluña;43 Tarragona;43142 Sarral;Plazas por vivienda turística;2024M11;6;2024;11
09 Cataluña;43 Tarragona;43142 Sarral;Plazas por vivienda turística;2024M08;6;2024;08
09 Cataluña;43 Tarragona;43142 Sarral;Plazas por vivienda turística;2024M02;6;2024;02
09 Cataluña;43 Tarragona;43142 Sarral;Plazas por vivienda turística;2023M08;6;2023;08
09 Cataluña;43 Tarragona;43142 Sarral;Plazas por vivienda turística;2023M02;6;2023;02
09 Cataluña;43 Tarragona;43142 Sarral;Plazas por vivienda turística;2022M08;6;2022;08
09 Cataluña;43 Tarragona;43142 Sarral;Plazas por vivienda turística;2022M02;6;2022;02
09 Cataluña;43 Tarragona;43142 Sarral;Plazas por vivienda turística;2021M08;9;2021;08
09 Cataluña;43 Tarragona;43142 Sarral;Plazas por vivienda turística;2021M02;6;2021;02
