latitu;long;tipus;places
41.1196238;1.2478371;Exclusives d'ús particular;2
41.1124011;1.2392788;Exclusives d'ús particular;1
41.1144277;1.2514669;Exclusives d'ús particular;1
41.1143742;1.2512392;Exclusives d'ús particular;1
41.1163005;1.2549226;Exclusives d'ús particular;1
41.1159129;1.2598281;Exclusives d'ús particular;1
41.1175466;1.2402289;Exclusives d'ús particular;1
41.119623;1.1917667;Exclusives d'ús particular;1
41.1130842;1.2468796;Exclusives d'ús particular;2
41.1232789;1.2135872;Exclusives d'ús particular;1
41.1169666;1.2595505;Exclusives d'ús particular;1
41.1112497;1.2482522;Exclusives d'ús particular;1
41.1201705;1.1926504;Exclusives d'ús particular;1
41.11406;1.24288;Exclusives d'ús particular;1
41.1181687;1.2421448;Exclusives d'ús particular;2
41.1190114;1.2587567;Exclusives d'ús particular;2
41.1227303;1.2388957;Exclusives d'ús particular;1
41.1224254;1.248796;Exclusives d'ús particular;2
41.1161508;1.2560314;Exclusives d'ús particular;1
41.1102661;1.249452;Exclusives d'ús particular;1
41.1200058;1.2532551;Exclusives d'ús particular;1
41.114401;1.2430692;Exclusives d'ús particular;1
41.1231372;1.2743386;Exclusives d'ús particular;1
41.1382656;1.2525856;Exclusives d'ús particular;1
41.122398;1.252657;Exclusives d'ús particular;1
41.119164;1.2537095;Exclusives d'ús particular;1
41.1210247;1.2507558;Exclusives d'ús particular;1
41.1145623;1.2462691;Exclusives d'ús particular;1
41.1191968;1.2089406;Exclusives d'ús particular;1
41.1144277;1.2514669;Exclusives d'ús particular;1
41.1184777;1.1900797;Exclusives d'ús particular;1
41.1207804;1.1915457;Exclusives d'ús particular;1
41.1291493;1.3454116;Exclusives d'ús particular;1
41.1136028;1.2456704;Exclusives d'ús particular;1
41.1228221;1.2153321;Exclusives d'ús particular;1
41.1180279;1.23803;Exclusives d'ús particular;1
41.1198805;1.2669825;Exclusives d'ús particular;1
41.1199828;1.2507694;Exclusives d'ús particular;1
41.1381052;1.2497735;Exclusives d'ús particular;1
41.1167202;1.2462005;Exclusives d'ús particular;1
41.1130294;1.2510419;Exclusives d'ús particular;1
41.1138553;1.2483077;Exclusives d'ús particular;1
41.1121413;1.2404868;Exclusives d'ús particular;1
41.1140533;1.2440456;Exclusives d'ús particular;1
41.1116487;1.2440123;Exclusives d'ús particular;1
