codi;nom;adreca;latitud;longitud
25509;Andorra;Av. Andorra, 10;41.12221833;1.244031667
25002;Andorra;Avinguda Principat d'Andorra, 13-15;41.12186167;1.244181667
25533;Catalunya;Rovira i Virgili, 40;41.12169333;1.251836667
25112;Masricard;Raval, 85;41.12089667;1.18096
25519;Bonavista;Carrer Quinze, 29;41.12055833;1.191636667
25625;Riuclar;Riuclar, front bloc 5;41.12046333;1.224781667
25006;Catalunya;Av. Catalunya, 22;41.12014667;1.252548333
25632;Segre;Riu Segre, 7 A;41.11977333;1.211425
25641;Tarradellas;Riu Siurana amb Riu Besós;41.11945333;1.208001667
25096;Les Neus;Marina, 50;41.11939167;1.179741667
25605;Pl. Imperial Tàrraco;Pl. Imperial Tàrraco, 1. Antiga facultat de lletres;41.11930333;1.245926667
25488;Carrer Vint, 56;Carrer Vint, 56;41.11927833;1.194388333
25133;Enric d'Ossó;Enric d'Ossó, Institut Martí Franqués;41.11921167;1.242486667
25652;Via Augusta;Via Augusta, 74;41.11883833;1.268558333
25613;Portal del Roser;Av. Catalunya, parc Saavedra;41.11866167;1.254531667
25645;Torreforta;Montblanc, 42;41.11865333;1.217471667
25178;St. Antoni;Passeig St. Antoni, portal de St. Antoni;41.11843333;1.260801667
25591;Parc;Av. de Roma, front 19;41.11815667;1.239411667
25136;Parc;Av. de Roma, 24-26;41.11793833;1.239435
25489;Carrer Vint, 30;Carrer Vint, 30;41.11765333;1.194033333
25515;Beneficéncia;Via Augusta, 83;41.11721333;1.26403
25521;Brugent;Riu Llobregat, centre cívic;41.11717333;1.204183333
25587;Nou Vial;Riu Llobregat, Camp de fíºtbol;41.11712833;1.200498333
25583;Montsant;Riu Montsant, 3-5;41.11708167;1.211056667
25100;Llobregat;Riu Llobregat, 3;41.11706333;1.20663
25576;Mercat;Riu Glorieta;41.11683333;1.216983333
25463;Mercat;Riu Glorieta;41.11672333;1.216695
25540;El Pilar;Riu Montsant, 10 Front Bloc Cinca;41.11653167;1.213128333
25577;Miracle;Via Augusta, 34;41.11648167;1.261451667
25520;Brugent;Riu Brugent, s/n;41.11647833;1.204796667
25608;Polígon;Ctra. N-340, Gasolinera Triton;41.11630167;1.228245
25586;Naranjos;Riu Montsant, 4;41.11625167;1.214446667
25490;Carrer Vint, 10;Carrer Vint, front 10;41.11585167;1.1938
25473;Campsrodons;Campsrodons, nau 6;41.11577333;1.183731667
25513;Balcó;Via Augusta, 2;41.11562667;1.258176667
25648;Turia;Ctra. de Valencia, 211;41.11537333;1.217255
25638;Tanatori;Polígon Francolí parc. 13;41.11490333;1.232858333
25517;Bombers;Polígon Francolí;41.11363167;1.219121667
25609;Poligon Francoli;Polígon Francolí, parc 26;41.11363167;1.229688333
25595;Passeig Marítim;Passeig Marítim Rafael de Casanova;41.11350167;1.258005
25994;Passeig Marítim;Passeig Marítim Rafael de Casanova;41.11347167;1.257888333
25068;Bastos;Torres Jordi, front 14;41.11226667;1.240876667
25646;Torres Jordi;Passeig de l'independéncia front passatge Xavier;41.11174333;1.238466667
25078;Jaume I;Reial, 2;41.11170667;1.24353
25130;El Serrallo;Pere Martell, antic Nàutic;41.11008333;1.243276667
25612;Port Esportiu-Miracle;Passeig Marítim Rafael de Casanova,;41.10922167;1.251428333
25542;Posit;Trafalgar, Pl. Bisbe Bonet;41.10905833;1.23937
25592;Parc;Ramon y Cajal, 76;41.1160395;1.2413012982
25071;Gaudí;Arquitecte Gaudí, front tennis;41.162505;1.244525
25606;Planot;Franquese de Codony, amb Av. St. Salvador;41.159705;1.241476667
25572;L'Olivera;Av. St. Salvador, 116;41.157869;1.24109
25176;Siurana;Passeig Sta. Isabel, 52;41.157565;1.237995
25097;Les Vinyes;Mas dels Cups amb Les Vinyes;41.156427;1.24609
25635;St. Ramon;Av. St. Salvador, front 39;41.154734;1.240893
25720;Tarragones, 5;C. del Tarragones, 5;41.148126;1.277902
25704;Cigonya, 40;Cigonya, 40;41.145691;1.292406
25064;Ferran;Ctra. La Riera de Gaià ;41.145455;1.359453333
25879;Urb. Balcó de Tarragona;Pairal, 6;41.145198;1.276453
25706;Oreneta, 13;Oreneta, 13;41.140467;1.293575
25503;Aiguamolls del Gaià;Ctra N-340, front Bufet Altafulla;41.140282;1.367106
25452;Antoni Nicolau;Isaac Albeniz, 19;41.139565;1.2971083333
25543;Equador;Bloc Bolívia;41.139315;1.250818333
25188;Tamarit;Ctra. N-340, Km 1172;41.139025;1.353665
25548;Església;Bloc St. Joan Esc A-B;41.138715;1.254205
25058;Església;Església St. Pere i St. Pau;41.138495;1.2544833333
25690;Miramar III;Bloc Alt Penedes s/n;41.137563;1.250365
25446;Guineu;Passeig de l'Esquirol s/n, direccio ferran;41.137215;1.35117
25818;Estacio Altafulla Tamarit;TV-2023, 91;41.136956;1.37466
25717;Jaume Pahissa, 31;Jaume Pahissa, 31;41.135192;1.301068
