"NOMZONA","EDAD","SEXE","NACIONALITAT","NUMERO","CODI_ENS","NOM_ENS"
"SANT PERE I SANT PAU","67","D","ESTRANGER","7","4314820002","AJUNTAMENT DE TARRAGONA"
"TORREFORTA","20","H","ESPANYA","144","4314820002","AJUNTAMENT DE TARRAGONA"
"TARRAGONA","44","H","ESTRANGER","145","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT PERE I SANT PAU","20","D","ESPANYA","76","4314820002","AJUNTAMENT DE TARRAGONA"
"TORREFORTA","49","H","ESTRANGER","72","4314820002","AJUNTAMENT DE TARRAGONA"
"MONTGONS (ELS)","61","H","ESPANYA","14","4314820002","AJUNTAMENT DE TARRAGONA"
"TORREFORTA","25","H","ESTRANGER","65","4314820002","AJUNTAMENT DE TARRAGONA"
"MONTGONS (ELS)","45","H","ESTRANGER","9","4314820002","AJUNTAMENT DE TARRAGONA"
"TARRAGONA","35","H","ESTRANGER","179","4314820002","AJUNTAMENT DE TARRAGONA"
"TAMARIT","65","D","ESPANYA","9","4314820002","AJUNTAMENT DE TARRAGONA"
"TORREFORTA","26","H","ESTRANGER","85","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT SALVADOR","42","H","ESTRANGER","27","4314820002","AJUNTAMENT DE TARRAGONA"
"TORREFORTA","40","H","ESPANYA","81","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT SALVADOR","76","H","ESPANYA","14","4314820002","AJUNTAMENT DE TARRAGONA"
"ARRABASSADA I SAVINOSA","53","H","ESTRANGER","1","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT PERE I SANT PAU","58","D","ESTRANGER","11","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT SALVADOR","41","H","ESTRANGER","30","4314820002","AJUNTAMENT DE TARRAGONA"
"TARRAGONA","50","D","ESTRANGER","128","4314820002","AJUNTAMENT DE TARRAGONA"
"MONNARS","68","D","ESPANYA","12","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT SALVADOR","54","H","ESTRANGER","17","4314820002","AJUNTAMENT DE TARRAGONA"
"CALA ROMANA","65","D","ESPANYA","8","4314820002","AJUNTAMENT DE TARRAGONA"
"BONAVISTA","68","H","ESPANYA","35","4314820002","AJUNTAMENT DE TARRAGONA"
"CAMPSA","72","D","ESPANYA","12","4314820002","AJUNTAMENT DE TARRAGONA"
"TORREFORTA","29","H","ESPANYA","68","4314820002","AJUNTAMENT DE TARRAGONA"
"TAMARIT","68","D","ESPANYA","11","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT SALVADOR","63","D","ESTRANGER","6","4314820002","AJUNTAMENT DE TARRAGONA"
"TARRAGONA","33","D","ESTRANGER","200","4314820002","AJUNTAMENT DE TARRAGONA"
"MONNARS","76","D","ESPANYA","13","4314820002","AJUNTAMENT DE TARRAGONA"
