"CODI","NOM","ADRECA","LATITUD","LONGITUD","CODI_ENS","NOM_ENS"
"25637,0","Tamarit","Ctra. N-340, Km 1172","41.13907333","1.352168333","4314820002","AJUNTAMENT DE TARRAGONA"
"25454,0","Castell de Tamarit","Passeig de l' Esquirol, acces al camping","41.13843167","1.35331","4314820002","AJUNTAMENT DE TARRAGONA"
"25532,0","Castell de Tamarit","Passeig de l' Esquirol, acces al camping","41.13840333","1.35244","4314820002","AJUNTAMENT DE TARRAGONA"
"25551,0","Europa","Front bloc Europa","41.13807333","1.252925","4314820002","AJUNTAMENT DE TARRAGONA"
"25655,0","Violant d'Hongria","Violant d'Hongria, 32","41.13793333","1.25672","4314820002","AJUNTAMENT DE TARRAGONA"
"25568,0","La Plaça","Alosa, 23","41.13773667","1.293895","4314820002","AJUNTAMENT DE TARRAGONA"
"25050,0","El Pont","Av Mediterrani, front 2-4","41.13771833","1.345891667","4314820002","AJUNTAMENT DE TARRAGONA"
"25715,0","Amadeus Vives, 4","Amadeus Vives, 4","41.13767221","1.29701875","4314820002","AJUNTAMENT DE TARRAGONA"
"25541,0","El Pont","Av. Mediterrani, 2-4","41.13763167","1.34604","4314820002","AJUNTAMENT DE TARRAGONA"
"25556,0","Guineu","Passeig de l'esquirol s/n, direccio Tgna","41.13728833","1.350891667","4314820002","AJUNTAMENT DE TARRAGONA"
"25629,0","St. Jordi","Front bloc St. Jordi","41.13658667","1.253466667","4314820002","AJUNTAMENT DE TARRAGONA"
"25584,0","Montsià","Av. Mediterrani, 24","41.13550167","1.346346667","4314820002","AJUNTAMENT DE TARRAGONA"
"25549,0","Esquirol","Passeig de l' Esquirol, front diposits EMATSA,direcc. Tgna","41.13543667","1.353706667","4314820002","AJUNTAMENT DE TARRAGONA"
"25124,0","Montsià","Av. Mediterrani, front 24","41.13542333","1.346245","4314820002","AJUNTAMENT DE TARRAGONA"
"25518,0","Bon Sol","Ctra. Llevantina, 4","41.13380167","1.302093333","4314820002","AJUNTAMENT DE TARRAGONA"
"25036,0","Compte de Rius","Marcel·li Domingo / Col·legi La Salle","41.13345167","1.244495","4314820002","AJUNTAMENT DE TARRAGONA"
