ANY,MES,"MOTIU",NUMERO,"CODI_ENS","NOM_ENS"
2017,12,"INSCRIPCIO INDEGUDA",3,"4314820002","AJUNTAMENT DE TARRAGONA"
2017,12,"EMIGRACIO",354,"4314820002","AJUNTAMENT DE TARRAGONA"
2017,12,"DEFUNCIO",121,"4314820002","AJUNTAMENT DE TARRAGONA"
2016,1,"INSCRIPCIO INDEGUDA",5,"4314820002","AJUNTAMENT DE TARRAGONA"
2016,1,"EMIGRACIO",405,"4314820002","AJUNTAMENT DE TARRAGONA"
2016,1,"DEFUNCIO",98,"4314820002","AJUNTAMENT DE TARRAGONA"
2016,2,"INSCRIPCIO INDEGUDA",11,"4314820002","AJUNTAMENT DE TARRAGONA"
2016,2,"EMIGRACIO",431,"4314820002","AJUNTAMENT DE TARRAGONA"
2016,2,"DEFUNCIO",94,"4314820002","AJUNTAMENT DE TARRAGONA"
2016,3,"INSCRIPCIO INDEGUDA",6,"4314820002","AJUNTAMENT DE TARRAGONA"
2016,3,"EMIGRACIO",375,"4314820002","AJUNTAMENT DE TARRAGONA"
2016,3,"DEFUNCIO",112,"4314820002","AJUNTAMENT DE TARRAGONA"
2016,4,"INSCRIPCIO INDEGUDA",132,"4314820002","AJUNTAMENT DE TARRAGONA"
2016,4,"EMIGRACIO",501,"4314820002","AJUNTAMENT DE TARRAGONA"
2016,4,"DEFUNCIO",82,"4314820002","AJUNTAMENT DE TARRAGONA"
2016,5,"INSCRIPCIO INDEGUDA",3,"4314820002","AJUNTAMENT DE TARRAGONA"
2016,5,"EMIGRACIO",416,"4314820002","AJUNTAMENT DE TARRAGONA"
2016,5,"DEFUNCIO",72,"4314820002","AJUNTAMENT DE TARRAGONA"
2016,6,"INSCRIPCIO INDEGUDA",6,"4314820002","AJUNTAMENT DE TARRAGONA"
2016,6,"EMIGRACIO",369,"4314820002","AJUNTAMENT DE TARRAGONA"
2016,6,"DEFUNCIO",60,"4314820002","AJUNTAMENT DE TARRAGONA"
2016,7,"INSCRIPCIO INDEGUDA",81,"4314820002","AJUNTAMENT DE TARRAGONA"
2016,7,"EMIGRACIO",400,"4314820002","AJUNTAMENT DE TARRAGONA"
2016,7,"DEFUNCIO",98,"4314820002","AJUNTAMENT DE TARRAGONA"
2016,8,"INSCRIPCIO INDEGUDA",496,"4314820002","AJUNTAMENT DE TARRAGONA"
2016,8,"EMIGRACIO",393,"4314820002","AJUNTAMENT DE TARRAGONA"
2016,8,"DEFUNCIO",79,"4314820002","AJUNTAMENT DE TARRAGONA"
2016,9,"INSCRIPCIO INDEGUDA",7,"4314820002","AJUNTAMENT DE TARRAGONA"
2016,9,"EMIGRACIO",488,"4314820002","AJUNTAMENT DE TARRAGONA"
2016,9,"DEFUNCIO",88,"4314820002","AJUNTAMENT DE TARRAGONA"
2016,10,"INSCRIPCIO INDEGUDA",819,"4314820002","AJUNTAMENT DE TARRAGONA"
2016,10,"EMIGRACIO",400,"4314820002","AJUNTAMENT DE TARRAGONA"
2016,10,"DEFUNCIO",82,"4314820002","AJUNTAMENT DE TARRAGONA"
2016,11,"INSCRIPCIO INDEGUDA",1,"4314820002","AJUNTAMENT DE TARRAGONA"
2016,11,"EMIGRACIO",449,"4314820002","AJUNTAMENT DE TARRAGONA"
2016,11,"DEFUNCIO",86,"4314820002","AJUNTAMENT DE TARRAGONA"
2016,12,"INSCRIPCIO INDEGUDA",5,"4314820002","AJUNTAMENT DE TARRAGONA"
2016,12,"EMIGRACIO",332,"4314820002","AJUNTAMENT DE TARRAGONA"
2016,12,"DEFUNCIO",100,"4314820002","AJUNTAMENT DE TARRAGONA"
2015,1,"INSCRIPCIO INDEGUDA",3,"4314820002","AJUNTAMENT DE TARRAGONA"
2015,1,"EMIGRACIO",394,"4314820002","AJUNTAMENT DE TARRAGONA"
2015,1,"DEFUNCIO",112,"4314820002","AJUNTAMENT DE TARRAGONA"
2015,2,"INSCRIPCIO INDEGUDA",6,"4314820002","AJUNTAMENT DE TARRAGONA"
2015,2,"EMIGRACIO",443,"4314820002","AJUNTAMENT DE TARRAGONA"
2015,2,"DEFUNCIO",95,"4314820002","AJUNTAMENT DE TARRAGONA"
2015,3,"INSCRIPCIO INDEGUDA",5,"4314820002","AJUNTAMENT DE TARRAGONA"
2015,3,"EMIGRACIO",468,"4314820002","AJUNTAMENT DE TARRAGONA"
2015,3,"DEFUNCIO",98,"4314820002","AJUNTAMENT DE TARRAGONA"
2015,4,"INSCRIPCIO INDEGUDA",3,"4314820002","AJUNTAMENT DE TARRAGONA"
2015,4,"EMIGRACIO",431,"4314820002","AJUNTAMENT DE TARRAGONA"
2015,4,"DEFUNCIO",81,"4314820002","AJUNTAMENT DE TARRAGONA"
2015,5,"INSCRIPCIO INDEGUDA",2,"4314820002","AJUNTAMENT DE TARRAGONA"
2015,5,"EMIGRACIO",451,"4314820002","AJUNTAMENT DE TARRAGONA"
2015,5,"DEFUNCIO",69,"4314820002","AJUNTAMENT DE TARRAGONA"
2015,6,"INSCRIPCIO INDEGUDA",96,"4314820002","AJUNTAMENT DE TARRAGONA"
2015,6,"EMIGRACIO",468,"4314820002","AJUNTAMENT DE TARRAGONA"
2015,6,"DEFUNCIO",82,"4314820002","AJUNTAMENT DE TARRAGONA"
2015,7,"INSCRIPCIO INDEGUDA",6,"4314820002","AJUNTAMENT DE TARRAGONA"
2015,7,"EMIGRACIO",501,"4314820002","AJUNTAMENT DE TARRAGONA"
2015,7,"DEFUNCIO",72,"4314820002","AJUNTAMENT DE TARRAGONA"
2015,8,"INSCRIPCIO INDEGUDA",85,"4314820002","AJUNTAMENT DE TARRAGONA"
2015,8,"EMIGRACIO",426,"4314820002","AJUNTAMENT DE TARRAGONA"
