ANY,MES,"MOTIU",NUMERO,"CODI_ENS","NOM_ENS"
2016,3,"NEIXEMENT",121,"4314820002","AJUNTAMENT DE TARRAGONA"
2016,3,"CANVI RESIDENCIA",521,"4314820002","AJUNTAMENT DE TARRAGONA"
2016,4,"OMISIO",15,"4314820002","AJUNTAMENT DE TARRAGONA"
2016,4,"NEIXEMENT",92,"4314820002","AJUNTAMENT DE TARRAGONA"
2016,4,"CANVI RESIDENCIA",492,"4314820002","AJUNTAMENT DE TARRAGONA"
2016,5,"OMISIO",15,"4314820002","AJUNTAMENT DE TARRAGONA"
2016,5,"NEIXEMENT",82,"4314820002","AJUNTAMENT DE TARRAGONA"
2016,5,"CANVI RESIDENCIA",540,"4314820002","AJUNTAMENT DE TARRAGONA"
2016,6,"OMISIO",11,"4314820002","AJUNTAMENT DE TARRAGONA"
2016,6,"NEIXEMENT",107,"4314820002","AJUNTAMENT DE TARRAGONA"
2016,6,"CANVI RESIDENCIA",527,"4314820002","AJUNTAMENT DE TARRAGONA"
2016,7,"OMISIO",4,"4314820002","AJUNTAMENT DE TARRAGONA"
2016,7,"NEIXEMENT",112,"4314820002","AJUNTAMENT DE TARRAGONA"
2016,7,"CANVI RESIDENCIA",486,"4314820002","AJUNTAMENT DE TARRAGONA"
2016,8,"OMISIO",8,"4314820002","AJUNTAMENT DE TARRAGONA"
2016,8,"NEIXEMENT",112,"4314820002","AJUNTAMENT DE TARRAGONA"
2016,8,"CANVI RESIDENCIA",407,"4314820002","AJUNTAMENT DE TARRAGONA"
2016,9,"OMISIO",10,"4314820002","AJUNTAMENT DE TARRAGONA"
2016,9,"NEIXEMENT",122,"4314820002","AJUNTAMENT DE TARRAGONA"
2016,9,"CANVI RESIDENCIA",715,"4314820002","AJUNTAMENT DE TARRAGONA"
2016,10,"OMISIO",15,"4314820002","AJUNTAMENT DE TARRAGONA"
2016,10,"NEIXEMENT",91,"4314820002","AJUNTAMENT DE TARRAGONA"
2016,10,"CANVI RESIDENCIA",562,"4314820002","AJUNTAMENT DE TARRAGONA"
2016,11,"OMISIO",14,"4314820002","AJUNTAMENT DE TARRAGONA"
2016,11,"NEIXEMENT",101,"4314820002","AJUNTAMENT DE TARRAGONA"
2016,11,"CANVI RESIDENCIA",540,"4314820002","AJUNTAMENT DE TARRAGONA"
2016,12,"OMISIO",17,"4314820002","AJUNTAMENT DE TARRAGONA"
2016,12,"NEIXEMENT",107,"4314820002","AJUNTAMENT DE TARRAGONA"
2016,12,"CANVI RESIDENCIA",425,"4314820002","AJUNTAMENT DE TARRAGONA"
2015,1,"OMISIO",17,"4314820002","AJUNTAMENT DE TARRAGONA"
2015,1,"NEIXEMENT",133,"4314820002","AJUNTAMENT DE TARRAGONA"
2015,1,"CANVI RESIDENCIA",431,"4314820002","AJUNTAMENT DE TARRAGONA"
2015,2,"OMISIO",16,"4314820002","AJUNTAMENT DE TARRAGONA"
2015,2,"NEIXEMENT",78,"4314820002","AJUNTAMENT DE TARRAGONA"
2015,2,"CANVI RESIDENCIA",469,"4314820002","AJUNTAMENT DE TARRAGONA"
2015,3,"OMISIO",17,"4314820002","AJUNTAMENT DE TARRAGONA"
2015,3,"NEIXEMENT",108,"4314820002","AJUNTAMENT DE TARRAGONA"
2015,3,"CANVI RESIDENCIA",560,"4314820002","AJUNTAMENT DE TARRAGONA"
2015,4,"OMISIO",23,"4314820002","AJUNTAMENT DE TARRAGONA"
2015,4,"NEIXEMENT",95,"4314820002","AJUNTAMENT DE TARRAGONA"
2015,4,"CANVI RESIDENCIA",419,"4314820002","AJUNTAMENT DE TARRAGONA"
2015,5,"OMISIO",21,"4314820002","AJUNTAMENT DE TARRAGONA"
2015,5,"NEIXEMENT",106,"4314820002","AJUNTAMENT DE TARRAGONA"
2015,5,"CANVI RESIDENCIA",405,"4314820002","AJUNTAMENT DE TARRAGONA"
2015,6,"OMISIO",22,"4314820002","AJUNTAMENT DE TARRAGONA"
2015,6,"NEIXEMENT",107,"4314820002","AJUNTAMENT DE TARRAGONA"
2015,6,"CANVI RESIDENCIA",476,"4314820002","AJUNTAMENT DE TARRAGONA"
2015,7,"OMISIO",23,"4314820002","AJUNTAMENT DE TARRAGONA"
2015,7,"NEIXEMENT",119,"4314820002","AJUNTAMENT DE TARRAGONA"
2015,7,"CANVI RESIDENCIA",509,"4314820002","AJUNTAMENT DE TARRAGONA"
2015,8,"OMISIO",16,"4314820002","AJUNTAMENT DE TARRAGONA"
2015,8,"NEIXEMENT",109,"4314820002","AJUNTAMENT DE TARRAGONA"
2015,8,"CANVI RESIDENCIA",456,"4314820002","AJUNTAMENT DE TARRAGONA"
2015,9,"OMISIO",8,"4314820002","AJUNTAMENT DE TARRAGONA"
2015,9,"NEIXEMENT",111,"4314820002","AJUNTAMENT DE TARRAGONA"
2015,9,"CANVI RESIDENCIA",674,"4314820002","AJUNTAMENT DE TARRAGONA"
2015,10,"OMISIO",9,"4314820002","AJUNTAMENT DE TARRAGONA"
2015,10,"NEIXEMENT",120,"4314820002","AJUNTAMENT DE TARRAGONA"
2015,10,"CANVI RESIDENCIA",709,"4314820002","AJUNTAMENT DE TARRAGONA"
2015,11,"OMISIO",16,"4314820002","AJUNTAMENT DE TARRAGONA"
2015,11,"NEIXEMENT",96,"4314820002","AJUNTAMENT DE TARRAGONA"
2015,11,"CANVI RESIDENCIA",453,"4314820002","AJUNTAMENT DE TARRAGONA"
2015,12,"OMISIO",9,"4314820002","AJUNTAMENT DE TARRAGONA"
2015,12,"NEIXEMENT",128,"4314820002","AJUNTAMENT DE TARRAGONA"
2015,12,"CANVI RESIDENCIA",436,"4314820002","AJUNTAMENT DE TARRAGONA"
2014,1,"OMISIO",26,"4314820002","AJUNTAMENT DE TARRAGONA"
2014,1,"NEIXEMENT",120,"4314820002","AJUNTAMENT DE TARRAGONA"
2014,1,"CANVI RESIDENCIA",412,"4314820002","AJUNTAMENT DE TARRAGONA"
2014,2,"OMISIO",30,"4314820002","AJUNTAMENT DE TARRAGONA"
2014,2,"NEIXEMENT",108,"4314820002","AJUNTAMENT DE TARRAGONA"
2014,2,"CANVI RESIDENCIA",405,"4314820002","AJUNTAMENT DE TARRAGONA"
2014,3,"OMISIO",30,"4314820002","AJUNTAMENT DE TARRAGONA"
2014,3,"NEIXEMENT",112,"4314820002","AJUNTAMENT DE TARRAGONA"
2014,3,"CANVI RESIDENCIA",493,"4314820002","AJUNTAMENT DE TARRAGONA"
2014,4,"OMISIO",39,"4314820002","AJUNTAMENT DE TARRAGONA"
2014,4,"NEIXEMENT",109,"4314820002","AJUNTAMENT DE TARRAGONA"
2014,4,"CANVI RESIDENCIA",435,"4314820002","AJUNTAMENT DE TARRAGONA"
2014,5,"OMISIO",31,"4314820002","AJUNTAMENT DE TARRAGONA"
2014,5,"NEIXEMENT",114,"4314820002","AJUNTAMENT DE TARRAGONA"
2014,5,"CANVI RESIDENCIA",476,"4314820002","AJUNTAMENT DE TARRAGONA"
2014,6,"OMISIO",50,"4314820002","AJUNTAMENT DE TARRAGONA"
2014,6,"NEIXEMENT",102,"4314820002","AJUNTAMENT DE TARRAGONA"
2014,6,"CANVI RESIDENCIA",462,"4314820002","AJUNTAMENT DE TARRAGONA"
2014,7,"OMISIO",22,"4314820002","AJUNTAMENT DE TARRAGONA"
2014,7,"NEIXEMENT",90,"4314820002","AJUNTAMENT DE TARRAGONA"
2014,7,"CANVI RESIDENCIA",514,"4314820002","AJUNTAMENT DE TARRAGONA"
2014,8,"OMISIO",13,"4314820002","AJUNTAMENT DE TARRAGONA"
2014,8,"NEIXEMENT",117,"4314820002","AJUNTAMENT DE TARRAGONA"
2014,8,"CANVI RESIDENCIA",390,"4314820002","AJUNTAMENT DE TARRAGONA"
2014,9,"OMISIO",27,"4314820002","AJUNTAMENT DE TARRAGONA"
2014,9,"NEIXEMENT",123,"4314820002","AJUNTAMENT DE TARRAGONA"
2014,9,"CANVI RESIDENCIA",708,"4314820002","AJUNTAMENT DE TARRAGONA"
2014,10,"OMISIO",17,"4314820002","AJUNTAMENT DE TARRAGONA"
2014,10,"NEIXEMENT",131,"4314820002","AJUNTAMENT DE TARRAGONA"
2014,10,"CANVI RESIDENCIA",585,"4314820002","AJUNTAMENT DE TARRAGONA"
2014,11,"OMISIO",15,"4314820002","AJUNTAMENT DE TARRAGONA"
2014,11,"NEIXEMENT",108,"4314820002","AJUNTAMENT DE TARRAGONA"
2014,11,"CANVI RESIDENCIA",440,"4314820002","AJUNTAMENT DE TARRAGONA"
2014,12,"OMISIO",22,"4314820002","AJUNTAMENT DE TARRAGONA"
2014,12,"NEIXEMENT",115,"4314820002","AJUNTAMENT DE TARRAGONA"
2014,12,"CANVI RESIDENCIA",387,"4314820002","AJUNTAMENT DE TARRAGONA"
2013,1,"OMISIO",18,"4314820002","AJUNTAMENT DE TARRAGONA"
2013,1,"NEIXEMENT",105,"4314820002","AJUNTAMENT DE TARRAGONA"
2013,1,"CANVI RESIDENCIA",497,"4314820002","AJUNTAMENT DE TARRAGONA"
